Dis_to_TertiaryHistory2.tif,wh_df_dem.tif,wh_df_pre.tif,wh_df_slope.tif,wh_df_tem.tif,wh_dist_gov.tif,wh_dist_highspdstation.tif,wh_dist_highway.tif,wh_dist_openwater.tif,wh_dist_primary.tif,wh_dist_railway.tif,wh_dist_secondary.tif,wh_dist_trunk.tif,wh_gdp2010.tif,wh_Pop.tif,wh_soiltype.tif,Type
0.0448955,0.21865,0.114286,0.0188143,0.291925,0.550166,0.272226,0.0924394,0.333759,0.597038,0.180498,0.367323,0.351306,0.00884686,0.000199243,0.90971,0
0.103416,0.231511,0.16,0.102535,0.347825,0.468287,0.163743,0.203889,0,0.180126,0.186492,0.410779,0.278535,0.00701446,0.00765093,0.449744,0
0.0327806,0.221865,0.148571,0.0237975,0.236025,0.652825,0.27196,0.10879,0.794068,0.21228,0.21216,0.0341369,0.416356,0.0447395,0.183463,0.241908,0
0.151064,0.221865,0.0628571,0.0252408,0.236025,0.772227,0.270616,0.227804,0.695204,0.13013,0.151316,0.190042,0.487055,0.00332423,0.0157003,0.471891,0
0.0833649,0.21865,0.131429,0.0188143,0.273292,0.609882,0.288637,0.0355198,0.621665,0.355569,0.195738,0.116586,0.390196,0.0032242,0.0206416,0.241908,0
0.103385,0.215434,0.165714,0.0677888,0.329192,0.465241,0.165708,0.209848,0.00706711,0.213899,0.188552,0.401946,0.279451,0.017898,0.00765093,0.90971,0
0.0463587,0.212219,0.114286,0.00841439,0.279503,0.579114,0.306319,0.0219636,0.491741,0.464363,0.188369,0.224142,0.371066,0.00332423,0,0.241908,0
0.0609889,0.21865,0.102857,0.0428927,0.31677,0.537723,0.26296,0.1059,0.297575,0.63684,0.183401,0.414,0.343883,0.00884686,0.00310819,0.449744,0
0.0650744,0.21865,0.102857,0.00841439,0.31677,0.536039,0.261379,0.107417,0.289458,0.644801,0.184431,0.423617,0.342206,0.00884686,0.00310819,0.449744,0
0.0853249,0.237942,0.102857,0.0336517,0.31677,0.528386,0.252254,0.11931,0.252841,0.64654,0.184431,0.460481,0.337261,0.00884686,0.0157003,0.449744,0
0.0997539,0.22508,0.148571,0.0656729,0.329192,0.464052,0.166523,0.207432,0.0134089,0.212031,0.189583,0.399562,0.278528,0.017898,0.00765093,0.449744,0
0.0907769,0.212219,0.148571,0.00841439,0.242236,0.613277,0.287963,0.0448789,0.644658,0.336995,0.199711,0.105989,0.392483,0.0032242,0,0.449744,0
0.00504316,0.228296,0.148571,0.0252408,0.236025,0.637991,0.278583,0.0880534,0.750073,0.249429,0.210563,0.0614464,0.407924,0.0447395,0.0206017,0.241908,0
0.0713656,0.231511,0.102857,0.0303343,0.31677,0.526643,0.256769,0.112342,0.270551,0.649306,0.187522,0.452475,0.337198,0.00884686,0.0157003,0.449744,0
0.0237885,0.212219,0.114286,0.0188143,0.298137,0.562129,0.299675,0.0487539,0.440775,0.512187,0.190699,0.280671,0.360945,0.00232239,0,0.90971,1
0.0785342,0.244373,0.148571,0.0531932,0.329192,0.457137,0.170908,0.194635,0.00893927,0.200984,0.190446,0.385695,0.273851,0.00701446,0.00765093,0.449744,0
0.12961,0.231511,0.0342857,0.0303343,0.217391,0.871781,0.313231,0.203884,0.471753,0.17493,0.0517432,0.513544,0.499226,0.0043918,0.000518031,0.255537,0
0.176042,0.231511,0.0457143,0.0761242,0.217391,0.847186,0.302104,0.203884,0.503186,0.167171,0.0734439,0.437847,0.507428,0.0043918,0.0082885,0.255537,0
0.127608,0.228296,0.0342857,0.0504659,0.217391,0.8712,0.314004,0.202448,0.468747,0.177547,0.0511552,0.51319,0.498665,0.0043918,0.000518031,0.255537,0
0.0393884,0.215434,0.125714,0.0606412,0.329192,0.530242,0.268856,0.0950779,0.318224,0.631806,0.191643,0.414406,0.340545,0.00884686,0.00310819,0.90971,0
0.0630395,0.215434,0.12,0.0118996,0.279503,0.569545,0.313107,0.0250752,0.49945,0.467287,0.19632,0.237844,0.366802,0.00332423,0,0.465077,0
0.0983417,0.21865,0.165714,0.034687,0.366459,0.455699,0.176629,0.218318,0.04157,0.288842,0.196795,0.372502,0.279769,0.0022425,0,0.449744,1
0.229519,0.221865,0.0514286,0.0303343,0.223602,0.814527,0.292325,0.202667,0.550564,0.175131,0.100198,0.33985,0.512675,0.0199127,0,0.255537,0
0.0588669,0.215434,0.12,0.0356922,0.291925,0.56596,0.311504,0.0309947,0.488909,0.477991,0.196666,0.250016,0.364584,0.00332423,0,0.90971,0
0.0303639,0.21865,0.12,0.0188143,0.291925,0.55474,0.299937,0.0538187,0.43972,0.520519,0.195409,0.295145,0.357234,0.00232239,0,0.90971,1
0.157916,0.22508,0.0457143,0.0538534,0.217391,0.850467,0.307045,0.199577,0.483465,0.175151,0.0665986,0.454859,0.503762,0.0043918,0.0082885,0.255537,0
0.111976,0.212219,0.114286,0,0.285714,0.589454,0.302038,0.0160528,0.593671,0.387856,0.203424,0.166258,0.37969,0.0032242,0,0.465077,0
0.0771455,0.237942,0.165714,0.102535,0.329192,0.451175,0.17616,0.199871,0.041208,0.249556,0.199886,0.366713,0.273796,0.017898,0,0.90971,0
0.0894362,0.22508,0.165714,0.0490452,0.366459,0.452123,0.178916,0.213182,0.0521244,0.289827,0.199886,0.363342,0.277533,0.0022425,0,0.449744,0
0.204932,0.22508,0.0514286,0.0420602,0.223602,0.82668,0.300214,0.196301,0.515424,0.183092,0.0852759,0.384048,0.50995,0.0199127,0.0082885,0.255537,0
0.20923,0.221865,0.0857143,0.0118996,0.229813,0.790494,0.288495,0.202061,0.592433,0.177011,0.118395,0.268586,0.498774,0.00275333,0,0.55707,0
0.148324,0.22508,0.102857,0.0118996,0.248447,0.767696,0.282447,0.208943,0.649083,0.16325,0.139796,0.19641,0.48585,0.00332423,0,0.55707,0
0.0973017,0.212219,0.165714,0.0452982,0.366459,0.452242,0.180696,0.219095,0.0560043,0.308366,0.199886,0.363355,0.279321,0.0022425,0,0.449744,0
0.107219,0.212219,0.12,0.0490452,0.279503,0.579741,0.308234,0.0014358,0.567071,0.414796,0.204301,0.194742,0.373784,0.00332423,0,0.465077,0
0.129217,0.21865,0.102857,0.0188143,0.248447,0.759409,0.28362,0.207537,0.6596,0.148596,0.144384,0.173689,0.481018,0.00332423,0.0166966,0.55707,0
0.111635,0.215434,0.108571,0.0188143,0.242236,0.75244,0.283361,0.208285,0.674737,0.132675,0.149147,0.155118,0.477449,0.00332423,0.0166966,0.55707,0
0.04791,0.244373,0.148571,0.0612208,0.329192,0.443769,0.180039,0.179171,0.041208,0.213932,0.184925,0.3564,0.267002,0.00701446,0.00765093,0.449744,0
0.209291,0.228296,0.0857143,0.0490452,0.229813,0.794739,0.2934,0.195949,0.563617,0.189312,0.109764,0.291666,0.502069,0.00275333,0,0.55707,0
0.102861,0.215434,0.114286,0.0428927,0.285714,0.594544,0.30192,0.030828,0.645688,0.349316,0.213447,0.149892,0.383865,0.0032242,0,0.465077,0
0.117328,0.21865,0.114286,0.0640398,0.285714,0.589263,0.304735,0.0224739,0.628878,0.365423,0.212725,0.163087,0.38063,0.0032242,0,0.465077,0
0.190859,0.212219,0.114286,0.0957959,0.347825,0.450446,0.140363,0.133128,0.00316051,0.10604,0.10889,0.379912,0.259159,0.0241351,0,0.449744,1
